Annotation	log2FoldChange	pvalue
PRDM16	-0.7749381897076142	0.009860001323879
MYCL	0.5401922623664839	0.0347652724857923
SCMH1	-0.2680631042035921	0.0116976585652464
ESRRG	-0.7778606387178992	0.0364222416917224
ZNF365	0.5668342491572409	0.0245243880408594
TCF7L2	-0.7045685662629971	0.0197300051148545
POU2F3	-0.759547694848583	0.0173433745996114
SOX5	-0.536800266948999	0.0499830324617359
ATF1	-0.2273293209662118	0.0311026785592558
ZBTB39	-0.2540568062626905	0.0441771814606615
TBX5	-0.5755026269260561	0.0257518463789899
FOS	-0.8386997166469119	0.0461291176447467
GSC	-0.5121276280823873	0.0497286608536188
ARNT2	0.7821283382007177	0.0060275951241475
MESP2	1.0531978621205664	0.0115962698135302
ZNF774	-0.5335350305061537	0.0266233508136302
NFATC3	-0.2540553118257321	0.0295970516282437
ZBTB4	-0.3490703772746156	0.0253360183440418
SOX15	-0.9222533080099804	0.0017610833901234
IKZF3	0.92244290587749	0.0149175842128396
RARA	0.9053265287092545	0.0051371568089334
ZNF385C	-0.5174725505672411	0.0477413320966046
DLX3	0.9725081427775084	0.0153612159293784
FOXJ1	1.813245805534296	0.0018120164602574
ZNF556	1.006098719195964	0.0481534425657997
ZNF490	0.1951328812527295	0.0441063743932517
CC2D1A	-0.3559394120245692	0.010460817886917
ZNF575	-0.3580692924027502	0.0401552391855134
HIF3A	-1.1658490979817262	0.0334041257531846
ZNF114	-0.7856040132545675	0.0123566568427944
SPIB	1.1798550960215817	0.0371842993749965
ZNF577	-0.5784611362497227	0.0122062773645702
ZNF580	-0.4702204836622401	0.0253349433724887
MEIS1	-0.4961840203493983	0.0400412984669399
PAX8	-0.7471512562688147	0.0386675742861527
ZNF385B	-1.561864133451214	0.0003369737409991
IKZF2	0.6889714923107888	0.0029714221563245
SIM2	0.6941646111211854	0.0228483684738342
TCF20	0.7969018083557874	0.0450771508668485
LTF	-1.721230625896765	0.0012145448704082
ZNF80	0.894612457876202	0.0356182988605857
ZBTB49	-0.1909096289674035	0.0365027853167169
AHRR	0.5742231486431103	0.0398067735333755
ZNF608	-0.4045032176888454	0.0489163327087032
FOXC1	-1.0082947061600895	0.0016619950841491
PBX2	-5.773021733529663	3.913763138442256e-05
RXRB	3.5530476995045137	5.02958091999195e-06
ZNF853	-0.3437270768048151	0.0464718565703344
ZNF736	0.2622759679133458	0.0403650367481219
ZNF92	0.5657776772167867	0.0287142322865034
MLXIPL	-0.959788430818188	0.0481219131712324
CREB3L2	-0.314225134038579	0.0488171525132716
ST18	1.140406146489536	0.0030583513045525
ZNF707	0.9364824120849004	0.0256093233991126
DMRT2	-0.854074194141055	0.030575326829811
PAX5	1.413641934300178	0.0111754151670799
BARX1	-1.2888264971563046	0.0148083557182506
ZNF618	-0.3810323468982445	0.0115449959216482
RHOXF2	-1.1440676477304004	0.0110179374933782
HES4	-2.11418655534965	0.0012231094045462
HES2	-2.0314744944692853	0.0017963282373069
THAP3	-1.2558762116722073	0.0182604759752002
CAMTA1	-1.5117906006615618	3.8782971755994096e-08
CENPS	-1.0746872286830895	0.000110336137464
CASZ1	-1.1691761292731062	0.0094635002973462
ZBTB40	0.6843110653338567	0.0003255976198572
E2F2	1.5908731610706357	0.0008663501409658
RUNX3	1.6013024832398148	3.657568909344681e-05
ZNF683	3.1244439696019826	1.4639630924667306e-07
LIN28A	5.691276851600251	3.512228616806003e-08
