Annotation,log2FoldChange,pvalue
LINC00115,-0.3877630100146612,0.0441465816276958
LINC01772,-0.4886902139837744,0.0240035506370098
SNORA73B,1.1139820639540132,0.0085224474810546
AL049795.1,-0.5505647865424936,0.0320183488961526
FOXD2-AS1,-0.7258905520968073,0.0178590196840536
C2CD4D-AS1,0.6085017135210781,0.01046380160067
AL353708.1,-0.629843526505489,0.0405598788360419
KIAA1614-AS1,-0.5488399217763903,0.0394060520624747
SMG7-AS1,-0.4486468309613224,0.0373365856590409
AC104463.2,-0.4790925571444217,0.0486920512842129
ERLNC1,-1.1534972580633591,0.0035667255461705
IBA57-DT,-0.5218772753093696,0.0057604026552838
AC044784.1,1.874871644217936,0.0080383142213398
AL355870.1,-1.1443464608383007,0.0240777434309437
AL359532.1,-0.4588843215945783,0.0343294106482534
AL353801.3,-0.4343644699417559,0.0090011920992403
AL139241.1,-0.9556806213737724,0.0043092865274533
OLMALINC,-0.8178138464360186,0.015050766159541
KCNIP2-AS1,-0.8677729227320262,0.0146868594262703
CFAP58-DT,0.7182290998850088,0.0327938002699911
LINC02620,3.142397551480644,0.0001293519805533
AL162274.2,-0.4384761000540039,0.0190044561830456
AL162274.1,-0.4942877226613993,0.0135507038278561
AP006623.1,-0.4893807585320935,0.0437327686907913
RPL26P30,-0.7358184868296289,0.0181830632316138
AC009656.1,0.6612912876417811,0.0295302662478904
AP002358.1,2.5417022684008463,5.110648972128674e-06
AP000640.1,-0.5139004473745695,0.0294836582803786
AP000438.1,-1.1226926954021206,0.0009444645311116
AP000879.2,-0.9934507723290884,0.0486392701985718
SHANK2-AS1,-0.809482569443348,0.0156382879646815
LINC01537,-0.9311524382568964,0.0486236408793698
UVRAG-DT,-0.6028105670176529,0.0215121642574446
RSF1-IT1,-1.0520272562798898,0.0048961169899748
AP000873.4,-0.5123354862471573,0.0412291303765562
AP001527.1,-0.7216789559198353,0.0368682273362552
AP001781.1,-0.9785823518606964,0.013948098737461
BACE1-AS,-0.5166563334985449,0.017503558565507
AP000941.1,-0.5272370041679424,0.0248807969480886
AP003392.4,-0.520432607241326,0.0456409278190132
AP000866.5,-0.6738175652690389,0.0263445656426598
LINC02422,1.062298736555741,0.0397867534229997
DDN-AS1,-0.3836929716903862,0.0253981284165606
BCDIN3D-AS1,-0.3190334432441093,0.0390621923256636
AC068987.2,-0.6118417868955703,0.0336300659338318
NR4A1AS,-1.3588021857262635,0.0222871185919383
TMEM198B,-0.3226374913788102,0.04730053781659
AC025162.2,-0.5573830079590494,0.0455892241575034
AC025423.1,-0.593419743178651,0.0450628468252532
AC078923.1,-0.7828606595289785,0.0446486245839802
AC024909.1,-0.6693193709203974,0.0281589711340057
