Annotation	log2FoldChange	pvalue
CLCNKB	-1.4077448069438518	0.0010625756622217
RNU1-1	1.4071192162437791	0.0113952470218958
AL137798.1	-0.8833834330740418	0.0012541398330506
KLHDC7A	1.0292896971372207	0.0406505131200199
AKR7L	0.6603172606482554	0.049180794833407
RNF186	-2.008194475896393	0.0024431611607462
PLA2G5	-1.0135609111019508	0.0055290693255778
EIF4G3	0.2505363187122558	0.0311154594641312
CNR2	1.2392358766354132	0.0268369977846605
AL020996.1	-0.3544192079566973	0.0407646332334904
STMN1	0.7004940715472928	0.0121977604498432
SLC30A2	1.0418800188811352	0.0079804971617835
IFI6	1.144594941479737	0.0449748514080602
TMEM200B	-0.4680147663312355	0.0297045881385783
MATN1	-0.8661747121754974	0.0031303805087723
MATN1-AS1	-0.3902203265568862	0.0217883852787947
NKAIN1	1.7984319363449424	0.0018648866695461
TSSK3	-0.4544768889491466	0.0467680118095755
MANEAL	0.9840727834054398	0.016802811283065
HPCAL4	1.1505696149859816	0.0145792102852657
RIMKLA	0.7127110189789336	0.0248825731117127
DMAP1	-0.2481482417936176	0.0048048811842669
ARMH1	0.4936944707155167	0.0025371991527991
CYP4A11	-1.323495046778632	0.002923848784019
SHISAL2A	0.7975812280302494	0.0381798679772103
ECHDC2	-0.4877864762705843	0.0310007232594619
SSBP3	-0.4051764862812506	0.0034961303683614
SLC44A5	1.1712404699781862	0.0170270619419911
RBMXL1	-0.3068994879336005	0.0437747897492666
HFM1	-0.8389580388231156	0.0401599387510469
F3	0.5202215258327768	0.0472233251522051
TLCD4	-0.6990310887531319	0.0155855211668436
GPR61	-0.5491527851269766	0.0033082414086976
GSTM2	-0.7352690431137012	0.0358168658623804
GSTM5	-1.737588750058256	0.0020450941119933
SYCP1	-2.507159435397729	0.0142943933970904
SPAG17	1.0807139456823058	0.0117432242638132
ACP6	-0.3663901407912436	0.0307179717468607
ADAMTSL4	-0.5321313139034384	0.008477326425107
OAZ3	0.495448054145478	0.0394268950971434
S100A7A	-4.669764434481986	0.0048520732014996
S100A2	0.7859449758682738	0.0415070612708384
S100A14	0.906785961491404	0.0348331764077487
S100A1	-0.5914735114501168	0.0367347816657943
TMEM79	0.7092556073555033	0.0142039656190758
TTC24	1.2111753424444498	0.0268524604660145
CRABP2	0.8840069706584415	0.0272607341291013
FCRL1	1.478567344708257	0.0074430463754334
VSIG8	-0.5701206369474082	0.0275248988197936
MPZ	-0.8429735868060338	0.0111592509398574
SELL	1.1851939021444693	0.0076855078580602
TNFSF18	1.2468847403030452	0.00897924590961
RABGAP1L	0.2834460850871574	0.0395871059550598
GPR52	0.4797941900182335	0.0077727166371541
PRG4	1.2406944662320667	0.0026236097777927
LMOD1	-0.6814868117972738	0.0223539476586961
REN	-0.905929904242115	0.0220979789621541
KLHDC8A	-0.6841598383231647	0.0044848858182967
