Annotation	log2FoldChange	pvalue
miR-320-RNASEN	-2.672430798452784	7.315302909664215e-09
miR-320-RNASEN	-2.849787921050944	3.898958407089863e-11
miR-320-RNASEN	-3.513471229948859	1.7925188964308357e-18
miR-320-RNASEN	-3.7500310284914415	2.2721613907471647e-20
miR-320-RNASEN	-3.939318572448794	1.0435177605484588e-18
miR-320-RNASEN	-3.381231936771277	2.0723775376806068e-16
miR-320-RNASEN	-3.833023544960673	6.034839877639493e-23
miR-320-RNASEN	-2.9691774423044395	5.276300342489051e-13
miR-320-RNASEN	-3.008712763990193	8.51520465840755e-13
miR-451-DICER1	-4.199318992416924	1.2661401248686804e-15
miR-451-DICER1	-3.364132843136301	1.5550561761212446e-11
miR-451-DICER1	-3.3668738143904062	2.1199145917273838e-11
miR-451-DICER1	-3.944455089994457	1.52003631616419e-15
miR-451	-3.523255742587745	6.094633391264049e-09
miR-320-RNASEN	-3.007543825963968	1.1833911928612097e-12
miR-93	1.207457156511504	0.0014731034704514
miR-141	1.291451094875632	0.0054117929260466
miR-141	1.812891752177637	0.0001340237439542
miR-200a	1.9861915108070545	0.0002958582657274
miR-376c	-1.9690448117300705	2.899059941388845e-06
miR-376c	-4.058261958850881	2.8283197143198243e-14
miR-181a-1	-1.0051228698604002	0.0340748546378666
miR-181a-2	-1.0051228698604002	0.0340748546378666
miR-181a-1	-1.5037461985738794	0.0018877894000681
miR-181a-2	-1.5037461985738794	0.0018877894000681
miR-181a-1	-1.761753296667366	3.323616028079023e-05
miR-181a-2	-1.761753296667366	3.323616028079023e-05
miR-181a-1	-0.9775225029448048	0.0428046621089666
miR-181a-2	-0.9775225029448048	0.0428046621089666
miR-100	-2.372875290887245	5.3041918236896825e-11
miR-100	-2.015976214068991	2.3235602096887105e-08
miR-100	-2.40773569914908	4.9175894340841156e-12
miR-100	-2.048217699502868	1.360742096607157e-06
miR-99a	-3.0058313140423927	1.2124868655584704e-11
miR-99a	-2.9332363781989144	2.286079623982515e-16
miR-99a	-3.0908576071799345	1.652082729064857e-12
miR-99a	-3.644437257558735	5.9022876672790425e-21
miR-99a	-3.0813297626309137	8.704345552556397e-17
miR-193b	-1.7910634788974762	6.257865630889523e-05
miR-193b	-2.263778656074781	1.4260072897761836e-07
miR-193b	-3.228484890540742	6.296755172328744e-11
miR-452	-1.6230629371581715	0.0140399081183339
miR-22	-2.0804547877788413	2.9409532419997487e-05
miR-423-3p	-1.3797580454641445	0.0009738623094688
miR-22	-2.0495354132359984	1.3226677328979262e-05
miR-22	1.325354061946143	0.0415304042837858
miR-22	-2.0678071457892915	6.840018620601514e-07
miR-22	-1.850783901793574	6.12073726675551e-06
miR-22	-2.1778863202864414	5.456336285010795e-07
miR-22	-2.3600273192890704	1.458738883192772e-09
miR-22	-1.833441080901294	4.9086575286316e-06
miR-22	-2.2504683523994413	5.284981847799538e-06
miR-22	-2.577748089679248	1.1602684524770524e-11
miR-22	-0.8027878731919106	0.0032709796765581
miR-22	-1.487227205175372	1.5081897867301476e-05
miR-22	-1.4436331757271474	0.0009809259290206
miR-22	-1.5986629085579465	0.0022743160545351
miR-22	-1.57550507414329	0.0081700844229618
miR-22	-1.6425886196627102	0.0013620657729024
miR-22	-1.3963289469787998	0.0071865687107866
miR-22	-1.521087768584676	0.0030532130596603
miR-708	0.8223381973999144	0.0290567199849383
miR-200c	2.097035990868854	3.539464293766132e-06
miR-425	1.1455170279154312	0.0437112771685341
miR-425	1.0701547949168235	0.0342284397583014
miR-425	1.3883401226107823	0.0014643881944513
miR-425	1.3255513248680428	0.0032272872448641
miR-425	1.6314560394167203	5.079259901979344e-05
miR-652	-1.857395696996142	2.1140219923796484e-06
miR-199a-1-3p	-0.8966369330320717	0.0254525039751142
miR-199a-2-3p	-0.8966369330320717	0.0254525039751142
miR-199b-3p	-0.8966369330320717	0.0254525039751142
